top - 21:23:06 up  6:02,  1 user,  load average: 1.33, 0.68, 0.25
任务: 289 total,   1 running, 288 sleeping,   0 stopped,   0 zombie
%Cpu(s): 28.9 us, 15.8 sy,  0.0 ni, 55.3 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :   3877.9 total,    635.1 free,   1734.2 used,   1508.6 buff/cache
MiB Swap:    923.3 total,    923.3 free,      0.0 used.   1824.3 avail Mem 

 进程号 USER      PR  NI    VIRT    RES    SHR    %CPU  %MEM     TIME+ COMMAND
    409 root      20   0  150668    264      8 S   0.0   0.0   0:00.00 vmware-+
    515 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cryptd
    709 systemd+  20   0   24684  13152   9200 S   0.0   0.3   0:01.36 systemd+
    710 systemd+  20   0   90912   6028   5244 S   0.0   0.2   0:00.17 systemd+
    728 root      20   0   58956  10684   9288 S   0.0   0.3   0:00.04 VGAuthS+
    730 root      20   0  248404   8028   6696 S   0.0   0.2   0:55.02 vmtoolsd
    764 root      20   0  250816   9588   8540 S   0.0   0.2   0:00.59 account+
    765 root      20   0    2548    776    708 S   0.0   0.0   0:00.09 acpid
    768 avahi     20   0    8528   3516   3184 S   0.0   0.1   0:00.66 avahi-d+
    769 root      20   0   18056   3048   2784 S   0.0   0.1   0:00.05 cron
    772 root      20   0   36936   8684   7204 S   0.0   0.2   0:00.04 cupsd
    775 message+  20   0    9860   6304   3824 S   0.0   0.2   0:01.55 dbus-da+
    776 root      20   0  347968  22468  19260 S   0.0   0.6   0:10.57 Network+
    788 root      20   0   81964   3688   3396 S   0.0   0.1   0:01.22 irqbala+
    801 root      20   0   48320  20696  12020 S   0.0   0.5   0:00.18 network+
    803 root      20   0  254232  13344   9724 S   0.0   0.3   0:02.34 polkitd
    808 syslog    20   0  224352   5100   3808 S   0.0   0.1   0:00.23 rsyslogd
    812 root      20   0 1096528  41240  20220 S   0.0   1.0   0:05.01 snapd
    814 root      20   0  244460   6412   5756 S   0.0   0.2   0:00.05 switche+
    820 root      20   0   17424   8448   7368 S   0.0   0.2   0:00.42 systemd+
    821 root      20   0  396080  14280  12040 S   0.0   0.4   0:00.15 udisksd
    822 root      20   0   13696   4960   4380 S   0.0   0.1   0:00.14 wpa_sup+
    840 avahi     20   0    8348    332      0 S   0.0   0.0   0:00.00 avahi-d+
    852 root      20   0  319228  13776  11796 S   0.0   0.3   0:00.19 ModemMa+
    855 root      20   0  176356  13012  11356 S   0.0   0.3   0:00.11 cups-br+
    895 root      20   0  126760  22844  14720 S   0.0   0.6   0:00.19 unatten+
    904 root      20   0  248400   8688   7496 S   0.0   0.2   0:00.08 gdm3
    935 rtkit     21   1  152936   2932   2696 S   0.0   0.1   0:00.44 rtkit-d+
   1029 whoopsie  20   0  327316  16408  14392 S   0.0   0.4   0:00.10 whoopsie
   1033 kernoops  20   0   11264    440      0 S   0.0   0.0   0:00.61 kernelo+
   1035 kernoops  20   0   11264    444      0 S   0.0   0.0   0:00.60 kernelo+
   1092 root      20   0  260856   9768   8620 S   0.0   0.2   0:00.17 upowerd
   1412 colord    20   0  257888  16904  11568 S   0.0   0.4   0:00.26 colord
   1460 root      20   0  323424  10228   8508 S   0.0   0.3   0:00.13 gdm-ses+
   1506 chen      20   0   21056  11804   8308 S   0.0   0.3   0:01.36 systemd
   1507 chen      20   0  103972   3432     12 S   0.0   0.1   0:00.00 (sd-pam)
   1512 chen       9 -11 2278088  20240  15548 S   0.0   0.5   0:01.35 pulseau+
   1515 chen      39  19 1126412  25040  16852 S   0.0   0.6   0:00.43 tracker+
   1517 chen      20   0   12712   9892   3992 S   0.0   0.2   0:01.99 dbus-da+
   1520 chen      20   0  248512   7968   7012 S   0.0   0.2   0:00.16 gvfsd
   1521 chen      20   0  249132   7480   6564 S   0.0   0.2   0:00.19 gnome-k+
   1528 chen      20   0  382068   8260   7376 S   0.0   0.2   0:00.04 gvfsd-f+
   1549 chen      20   0  326384  11172   9592 S   0.0   0.3   0:00.13 gvfs-ud+
   1556 chen      20   0  172804   6696   6048 S   0.0   0.2   0:00.04 gdm-x-s+
   1561 chen      20   0  246892   6804   6096 S   0.0   0.2   0:00.06 gvfs-gp+
   1566 chen      20   0  325536   9196   8208 S   0.0   0.2   0:01.18 gvfs-af+
   1571 chen      20   0  244484   6456   5884 S   0.0   0.2   0:00.06 gvfs-mt+
   1576 chen      20   0  244688   6076   5548 S   0.0   0.2   0:00.06 gvfs-go+
   1583 chen      20   0  562336  35196  28912 S   0.0   0.9   0:00.17 goa-dae+
   1589 chen      20   0  401268  11624  10276 S   0.0   0.3   0:00.06 goa-ide+
   1611 chen      20   0  199516  15408  13696 S   0.0   0.4   0:00.11 gnome-s+
